Year,Census Division and State,Kilograms of CO2 per Megawatthour of Generation
2019,New England,248
2019,Connecticut,238
2019,Maine,174
2019,Massachusetts,396
2019,New Hampshire,108
2019,Rhode Island,393
2019,Vermont,3
2019,Middle Atlantic,280
2019,New Jersey,266
2019,New York,188
2019,Pennsylvania,338
2019,East North Central,514
2019,Illinois,342
2019,Indiana,759
2019,Michigan,490
2019,Ohio,568
2019,Wisconsin,560
2019,West North Central,549
2019,Iowa,470
2019,Kansas,410
2019,Minnesota,426
2019,Missouri,735
2019,Nebraska,634
2019,North Dakota,697
2019,South Dakota,227
2019,South Atlantic,401
2019,Delaware,504
2019,District of Columbia,633
2019,Florida,403
2019,Georgia,397
2019,Maryland,333
2019,North Carolina,361
2019,South Carolina,251
2019,Virginia,309
2019,West Virginia,889
2019,East South Central,447
2019,Alabama,356
2019,Kentucky,819
2019,Mississippi,379
2019,Tennessee,332
2019,West South Central,445
2019,Arkansas,505
2019,Louisiana,480
2019,Oklahoma,331
2019,Texas,450
2019,Mountain,531
2019,Arizona,384
2019,Colorado,602
2019,Idaho,125
2019,Montana,588
2019,Nevada,349
2019,New Mexico,580
2019,Utah,724
2019,Wyoming,930
2019,Pacific Contiguous,180
2019,California,203
2019,Oregon,177
2019,Washington,137
2019,Pacific Noncontiguous,683
2019,Alaska,572
2019,Hawaii,753
2019,U.S. Total,418
"Notes:
The emissions data presented include total emissions from both electricity generation and the production of useful thermal output.
See Electric Power Annual, Appendix A, Technical Notes, for a description of the sources and methodology used to develop the emissions estimates.
Displayed values of zero may represent small values that round to zero. The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report'; and calculations made by the Office of Electricity, Renewables, and Uranium Statistics, U.S. Energy Information Administration.",,
