Year,Census Division and State,Kilograms of CO2 per Megawatthour of Generation
2017,New England,260
2017,Connecticut,228
2017,Maine,186
2017,Massachusetts,385
2017,New Hampshire,113
2017,Rhode Island,391
2017,Vermont,7
2017,Middle Atlantic,295
2017,New Jersey,240
2017,New York,200
2017,Pennsylvania,371
2017,East North Central,576
2017,Illinois,385
2017,Indiana,828
2017,Michigan,520
2017,Ohio,668
2017,Wisconsin,659
2017,West North Central,602
2017,Iowa,529
2017,Kansas,437
2017,Minnesota,482
2017,Missouri,811
2017,Nebraska,630
2017,North Dakota,724
2017,South Dakota,229
2017,South Atlantic,441
2017,Delaware,484
2017,District of Columbia,553
2017,Florida,451
2017,Georgia,430
2017,Maryland,392
2017,North Carolina,379
2017,South Carolina,272
2017,Virginia,345
2017,West Virginia,886
2017,East South Central,501
2017,Alabama,380
2017,Kentucky,864
2017,Mississippi,404
2017,Tennessee,453
2017,West South Central,519
2017,Arkansas,548
2017,Louisiana,511
2017,Oklahoma,438
2017,Texas,530
2017,Mountain,568
2017,Arizona,413
2017,Colorado,663
2017,Idaho,102
2017,Montana,564
2017,Nevada,345
2017,New Mexico,685
2017,Utah,740
2017,Wyoming,947
2017,Pacific Contiguous,165
2017,California,216
2017,Oregon,127
2017,Washington,95
2017,Pacific Noncontiguous,653
2017,Alaska,544
2017,Hawaii,726
2017,U.S. Total,459
"Notes:
The emissions data presented include total emissions from both electricity generation and the production of useful thermal output.
See Electric Power Annual, Appendix A, Technical Notes, for a description of the sources and methodology used to develop the emissions estimates.
Displayed values of zero may represent small values that round to zero. The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report'; and calculations made by the Office of Electricity, Renewables, and Uranium Statistics, U.S. Energy Information Administration.",,
